Wall time,Step,Value
1502603946.701753,159427,3.642143487930298
1502604733.941104,159684,3.9261794090270996
1502606003.559346,160107,3.5723414421081543
1502606153.608836,160157,3.5348172187805176
1502606675.673107,160329,4.0503997802734375
1502606784.606902,160366,3.638296365737915
1502607499.038356,160613,3.345817804336548
1502608839.871654,161064,3.7432212829589844
1502608923.388678,161092,3.241788864135742
1502609475.536944,161269,3.409717559814453
1502611267.178241,161855,3.69854736328125
1502611335.393147,161878,2.9170422554016113
1502611857.627655,162047,3.497241735458374
1502611860.336453,162048,3.6384904384613037
1502612050.982231,162111,3.541435718536377
1502613182.287839,162488,3.4893412590026855
1502613387.438424,162559,3.915229320526123
1502613791.846114,162694,4.028679847717285
1502614815.437267,163033,3.6427037715911865
1502615337.468613,163201,3.2353994846343994
1502617315.752908,163861,3.4165587425231934
1502619360.461432,164527,3.628441333770752
1502619943.884038,164724,3.5626893043518066
1502620069.177134,164764,3.639857292175293
1502621899.604223,165368,3.711688995361328
1502622303.322923,165502,3.740593433380127
1502622895.915215,165705,3.6056151390075684
1502623488.115503,165902,3.3378148078918457
1502624365.578125,166203,3.6621179580688477
1502624434.327297,166226,3.547153949737549
1502625009.300361,166418,3.4402215480804443
1502626042.450845,166775,3.336733341217041
1502626272.41141,166852,3.062164306640625
1502626879.15616,167054,3.3485732078552246
1502627135.712881,167139,3.5835816860198975
1502627629.763199,167301,3.2747154235839844
1502628392.971668,167549,3.434065580368042
1502629557.058222,167942,3.695437431335449
1502630015.957073,168085,3.434644937515259
1502630665.396355,168294,3.0836968421936035
1502631162.409299,168454,3.3108205795288086
1502631663.404142,168625,3.531128406524658
1502632136.187575,168782,3.9390978813171387
1502633512.745,169228,3.3786940574645996
1502634221.848907,169459,3.508944034576416
1502635166.29611,169778,3.4108924865722656
1502635454.08865,169868,3.470747709274292
1502636125.948508,170093,3.632352113723755
1502637081.742278,170400,3.550717830657959
1502639291.434523,171117,3.8060858249664307
1502640532.788763,171525,3.0394864082336426
1502640650.231955,171564,3.6674904823303223
1502640677.858208,171574,3.950113296508789
1502642358.018551,172136,3.0971741676330566
1502642936.751079,172321,3.8091721534729004
1502644606.349286,172877,3.709425210952759
1502644951.675559,172998,3.4653379917144775
1502645206.095836,173079,2.9597556591033936
1502645573.336964,173200,3.5816500186920166
